HGNC Symbol	SZ Score	Cell Score	Total Score	entrez	SZ label	Cell Motility Label
MUC1	1.0	0.39682496122521266	0.39682496122521266	4582	Positive	Unlabeled
FSCN1	1.0	0.39581303999141465	0.39581303999141465	6624	Positive	Unlabeled
APOE	1.0	0.3894446805226307	0.3894446805226307	348	Positive	Unlabeled
CPLX1	1.0	0.38621075583249065	0.38621075583249065	10815	Positive	Unlabeled
PRRG2	1.0	0.384757919985342	0.384757919985342	5639	Positive	Unlabeled
CGREF1	0.5942015320017818	0.6466911385055776	0.38426486523199066	10669	Unlabeled	Unlabeled
ITM2A	1.0	0.3806098729417705	0.3806098729417705	9452	Positive	Unlabeled
RIPOR2	1.0	0.374950962574578	0.374950962574578	9750	Positive	Unlabeled
TMEM25	1.0	0.37405658492515437	0.37405658492515437	84866	Unlabeled	Unlabeled
SLC39A13	1.0	0.3740565745417292	0.3740565745417292	91252	Positive	Unlabeled
MXRA8	1.0	0.36870654951916154	0.36870654951916154	54587	Positive	Unlabeled
PRODH	1.0	0.3679029197088588	0.3679029197088588	5625	Positive	Unlabeled
PLCD3	1.0	0.36569845190735767	0.36569845190735767	113026	Unlabeled	Unlabeled
RPS6KA4	1.0	0.3656984435540127	0.3656984435540127	8986	Positive	Unlabeled
CNN1	1.0	0.36420408530184717	0.36420408530184717	1264	Positive	Unlabeled
HOOK1	1.0	0.3632094253612115	0.3632094253612115	51361	Positive	Unlabeled
PEG10	1.0	0.3625158010267889	0.3625158010267889	23089	Positive	Unlabeled
CYP26B1	1.0	0.36081735565540024	0.36081735565540024	56603	Positive	Unlabeled
CRIP2	1.0	0.36049791721656166	0.36049791721656166	1397	Positive	Unlabeled
ANOS1	1.0	0.3582073671587569	0.3582073671587569	3730	Positive	Unlabeled
FAM149A	1.0	0.35708850366027356	0.35708850366027356	25854	Positive	Unlabeled
CSRP1	1.0	0.3555559400183698	0.3555559400183698	1465	Positive	Unlabeled
ANKRD6	1.0	0.3554649749898881	0.3554649749898881	22881	Positive	Unlabeled
ANKRD50	1.0	0.35479947754557656	0.35479947754557656	57182	Positive	Unlabeled
JAZF1	1.0	0.35365814657438455	0.35365814657438455	221895	Positive	Unlabeled
KLF13	1.0	0.3523446469056432	0.3523446469056432	51621	Positive	Unlabeled
GNG7	1.0	0.35191168310488125	0.35191168310488125	2788	Positive	Unlabeled
PDLIM2	1.0	0.35064367876868424	0.35064367876868424	64236	Positive	Unlabeled
SLCO2A1	1.0	0.3501986791138769	0.3501986791138769	6578	Positive	Unlabeled
CXCL5	1.0	0.3487020945966817	0.3487020945966817	6374	Unlabeled	Unlabeled
IL1A	1.0	0.34870208821581156	0.34870208821581156	3552	Positive	Unlabeled
CRLF1	1.0	0.34856968466011085	0.34856968466011085	9244	Positive	Unlabeled
ANKRD34C	1.0	0.3484500491452342	0.3484500491452342	390616	Positive	Unlabeled
CHRD	1.0	0.34773979984782943	0.34773979984782943	8646	Positive	Unlabeled
MEIS3P1	1.0	0.3466547874155152	0.3466547874155152	4213	Positive	Unlabeled
HTR2A	1.0	0.34634776286915947	0.34634776286915947	3356	Positive	Unlabeled
SLFN5	1.0	0.34339024837878623	0.34339024837878623	162394	Positive	Unlabeled
EGFL7	1.0	0.3429219956961167	0.3429219956961167	51162	Positive	Unlabeled
PCDHA5	1.0	0.3425407781472479	0.3425407781472479	56143	Positive	Unlabeled
ACSS1	1.0	0.342034516612001	0.342034516612001	84532	Positive	Unlabeled
ACVR2A	1.0	0.3412518699255808	0.3412518699255808	92	Positive	Unlabeled
RNF152	0.9999999999999998	0.3406086663239351	0.34060866632393505	220441	Unlabeled	Unlabeled
HHIP	0.9999999999999998	0.34060866154848685	0.3406086615484868	64399	Unlabeled	Unlabeled
ADAMTSL3	1.0	0.3406086483357425	0.3406086483357425	57188	Positive	Unlabeled
LCOR	1.0	0.3372146529935145	0.3372146529935145	84458	Positive	Unlabeled
GABRA5	1.0	0.33682704362651134	0.33682704362651134	2558	Positive	Unlabeled
HS3ST1	1.0	0.3338754397801016	0.3338754397801016	9957	Positive	Unlabeled
PCDHA2	1.0	0.3337667481338191	0.3337667481338191	56146	Positive	Unlabeled
PGAP1	1.0	0.3328809700986536	0.3328809700986536	80055	Positive	Unlabeled
TCN2	1.0	0.33275490487789	0.33275490487789	6948	Positive	Unlabeled
RAB40C	1.0	0.3317658531791334	0.3317658531791334	57799	Positive	Unlabeled
C9orf116	1.0	0.33064197975416304	0.33064197975416304	138162	Positive	Unlabeled
ADARB2	1.0	0.33036242850511105	0.33036242850511105	105	Positive	Unlabeled
BCL6	1.0	0.3297201715552568	0.3297201715552568	604	Positive	Unlabeled
CORO1C	1.0	0.32957126682360666	0.32957126682360666	23603	Positive	Unlabeled
TNKS	1.0	0.32948071201927515	0.32948071201927515	8658	Positive	Unlabeled
DEAF1	1.0	0.32928799719742147	0.32928799719742147	10522	Positive	Unlabeled
C1QL4	1.0	0.32909711434057326	0.32909711434057326	338761	Unlabeled	Unlabeled
VPS35L	1.0	0.3290971143405732	0.3290971143405732	57020	Unlabeled	Unlabeled
DPYSL2	1.0	0.3290971017971762	0.3290971017971762	1808	Positive	Unlabeled
RAB8B	1.0	0.3288248137493711	0.3288248137493711	51762	Positive	Unlabeled
RAMP2	1.0	0.3284690873293183	0.3284690873293183	10266	Positive	Unlabeled
PISD	1.0	0.3284036007390974	0.3284036007390974	23761	Positive	Unlabeled
CDK16	1.0	0.3280371903020872	0.3280371903020872	5127	Positive	Unlabeled
ST6GAL2	1.0	0.32799133567513344	0.32799133567513344	84620	Unlabeled	Unlabeled
ANKS1B	1.0	0.32799133172913164	0.32799133172913164	56899	Positive	Unlabeled
WDR45	1.0	0.32635873448786074	0.32635873448786074	11152	Positive	Unlabeled
DNASE1L1	1.0	0.3259132826010125	0.3259132826010125	1774	Positive	Unlabeled
BIRC3	1.0	0.32499467483802263	0.32499467483802263	330	Positive	Unlabeled
CKMT2	1.0	0.32498724592247696	0.32498724592247696	1160	Positive	Unlabeled
OMG	1.0	0.32338704834462123	0.32338704834462123	4974	Positive	Unlabeled
CHRDL1	1.0	0.32297749103406087	0.32297749103406087	91851	Positive	Unlabeled
DGKZ	1.0	0.32287808057905376	0.32287808057905376	8525	Positive	Unlabeled
SOCS2	1.0	0.3226663409610951	0.3226663409610951	8835	Positive	Unlabeled
SLC43A2	1.0	0.3223596137679882	0.3223596137679882	124935	Unlabeled	Unlabeled
ZNF524	1.0	0.3223596137679882	0.3223596137679882	147807	Unlabeled	Unlabeled
QPCTL	1.0	0.3223596137679882	0.3223596137679882	54814	Unlabeled	Unlabeled
ARRDC1-AS1	1.0	0.3223596137679882	0.3223596137679882	85026	Unlabeled	Unlabeled
DNAJC4	1.0	0.322359609213586	0.322359609213586	3338	Positive	Unlabeled
ZC3HAV1	1.0	0.32100580941747947	0.32100580941747947	56829	Positive	Unlabeled
RC3H1	1.0	0.3209945771195499	0.3209945771195499	149041	Positive	Unlabeled
HPSE	1.0	0.3207899311926591	0.3207899311926591	10855	Unlabeled	Unlabeled
PTBP3	1.0	0.3207899161081836	0.3207899161081836	9991	Positive	Unlabeled
EIF2AK2	1.0	0.3195414971503886	0.3195414971503886	5610	Positive	Unlabeled
PPP1R15B	1.0	0.3176842122119947	0.3176842122119947	84919	Positive	Unlabeled
FRAT1	1.0	0.31664508676607356	0.31664508676607356	10023	Positive	Unlabeled
ZNF507	1.0	0.31584997271896237	0.31584997271896237	22847	Positive	Unlabeled
CCDC141	1.0	0.3157678888801939	0.3157678888801939	285025	Unlabeled	Unlabeled
DISC1	1.0	0.31576788446912774	0.31576788446912774	27185	Positive	Unlabeled
FLYWCH2	1.0	0.31546902566330187	0.31546902566330187	114984	Positive	Unlabeled
DNAJA4	1.0	0.3147009712194505	0.3147009712194505	55466	Positive	Unlabeled
C9orf16	1.0	0.31382878913454754	0.31382878913454754	79095	Positive	Unlabeled
KREMEN2	1.0	0.31355728247279946	0.31355728247279946	79412	Positive	Unlabeled
RETREG3	1.0	0.31263840329981746	0.31263840329981746	162427	Positive	Unlabeled
FEM1B	1.0	0.31247956161381274	0.31247956161381274	10116	Positive	Unlabeled
NECAB3	1.0	0.3117232232960935	0.3117232232960935	63941	Positive	Unlabeled
AQP8	1.0	0.31134523353598603	0.31134523353598603	343	Unlabeled	Unlabeled
KRT8P17	1.0	0.31134523353598603	0.31134523353598603	392479	Unlabeled	Unlabeled
RPH3AL	1.0	0.31134523353598603	0.31134523353598603	9501	Unlabeled	Unlabeled
DNAH6	1.0	0.311345233535986	0.311345233535986	1768	Unlabeled	Unlabeled
DRD2	1.0	0.31134523051431096	0.31134523051431096	1813	Positive	Unlabeled
RBM12B	1.0	0.31086236570604037	0.31086236570604037	389677	Positive	Unlabeled
RALGPS2	1.0	0.3103984100940957	0.3103984100940957	55103	Positive	Unlabeled
MARCH2	1.0	0.31026802262843467	0.31026802262843467	51257	Positive	Unlabeled
CNOT6L	1.0	0.3101341777925733	0.3101341777925733	246175	Positive	Unlabeled
ITIH2	1.0	0.3085202440478323	0.3085202440478323	3698	Positive	Unlabeled
ABCC12	1.0	0.3080854445404898	0.3080854445404898	94160	Positive	Unlabeled
MOB1B	1.0	0.3077700850559062	0.3077700850559062	92597	Positive	Unlabeled
DRC3	1.0	0.3073992892654835	0.3073992892654835	83450	Positive	Unlabeled
N4BP3	1.0	0.3071293520065737	0.3071293520065737	23138	Positive	Unlabeled
ADCYAP1	1.0	0.30597886221639436	0.30597886221639436	116	Positive	Unlabeled
SLC6A13	1.0	0.30588975599527696	0.30588975599527696	6540	Positive	Unlabeled
ZBTB44	1.0	0.30506047982625506	0.30506047982625506	29068	Positive	Unlabeled
SEMA7A	1.0	0.30452915435724626	0.30452915435724626	8482	Positive	Unlabeled
HELZ	1.0	0.3043361943362628	0.3043361943362628	9931	Positive	Unlabeled
PCDHA3	1.0	0.3036838583651647	0.3036838583651647	56145	Positive	Unlabeled
TACR3	1.0	0.3031077624995231	0.3031077624995231	6870	Positive	Unlabeled
OTUD4	1.0	0.3023895953493186	0.3023895953493186	54726	Positive	Unlabeled
COPE	1.0	0.30046387334024094	0.30046387334024094	11316	Positive	Unlabeled
P4HA1	1.0	0.30002470470392445	0.30002470470392445	5033	Positive	Unlabeled
KDM5A	1.0	0.2996104199903793	0.2996104199903793	5927	Positive	Unlabeled
CFAP74	1.0	0.2994052406172098	0.2994052406172098	85452	Positive	Unlabeled
TOX4	1.0	0.2983892778451944	0.2983892778451944	9878	Positive	Unlabeled
FNIP2	1.0	0.2983420566367824	0.2983420566367824	57600	Positive	Unlabeled
PCDHA4	1.0	0.29773356192264916	0.29773356192264916	56144	Positive	Unlabeled
CLEC3B	1.0	0.29697674822643705	0.29697674822643705	7123	Positive	Unlabeled
ARHGEF3	1.0	0.29679563353386634	0.29679563353386634	50650	Positive	Unlabeled
AQP6	1.0	0.29664273492443716	0.29664273492443716	363	Positive	Unlabeled
SELENBP1	1.0	0.29534151812131615	0.29534151812131615	8991	Positive	Unlabeled
TCTA	1.0	0.2948908495429999	0.2948908495429999	6988	Positive	Unlabeled
PTP4A1	1.0	0.2943321301114087	0.2943321301114087	7803	Positive	Unlabeled
C21orf62	1.0	0.293391810484364	0.293391810484364	56245	Positive	Unlabeled
RMND5A	1.0	0.28992309848099423	0.28992309848099423	64795	Positive	Unlabeled
MBNL1	1.0	0.28987439445113883	0.28987439445113883	4154	Positive	Unlabeled
CREBRF	1.0	0.2882026659111296	0.2882026659111296	153222	Positive	Unlabeled
WDR13	1.0	0.28767626967363596	0.28767626967363596	64743	Positive	Unlabeled
CLDN11	0.2876370816691221	1.0	0.2876370816691221	5010	Unlabeled	Positive
TRIP12	1.0	0.2874934564729294	0.2874934564729294	9320	Positive	Unlabeled
SLC39A8	1.0	0.28642749256470373	0.28642749256470373	64116	Positive	Unlabeled
ZNF518B	1.0	0.2856918049003837	0.2856918049003837	85460	Positive	Unlabeled
SIRT1	1.0	0.28544181680236147	0.28544181680236147	23411	Positive	Unlabeled
GNPTG	1.0	0.2851059348185331	0.2851059348185331	84572	Positive	Unlabeled
ST6GALNAC6	1.0	0.2848261510294971	0.2848261510294971	30815	Positive	Unlabeled
TMEM150A	1.0	0.2845715641969202	0.2845715641969202	129303	Unlabeled	Unlabeled
TMEM129	1.0	0.28457155231211884	0.28457155231211884	92305	Positive	Unlabeled
PITPNB	1.0	0.28342328264554784	0.28342328264554784	23760	Positive	Unlabeled
NLRX1	1.0	0.28269461992781586	0.28269461992781586	79671	Positive	Unlabeled
DERL1	1.0	0.2820932596300716	0.2820932596300716	79139	Positive	Unlabeled
FKBP14	1.0	0.28157871723258937	0.28157871723258937	55033	Positive	Unlabeled
ZC3H11A	1.0	0.28156334012670436	0.28156334012670436	9877	Positive	Unlabeled
ASB13	1.0	0.28082573910185527	0.28082573910185527	79754	Positive	Unlabeled
RNF25	1.0	0.2806186112432685	0.2806186112432685	64320	Positive	Unlabeled
ATP11B	1.0	0.2803986367529471	0.2803986367529471	23200	Positive	Unlabeled
LAMTOR1	1.0	0.2797099052394017	0.2797099052394017	55004	Positive	Unlabeled
MCRS1	1.0	0.2796377585216376	0.2796377585216376	10445	Positive	Unlabeled
N4BP2	1.0	0.2796131657567397	0.2796131657567397	55728	Positive	Unlabeled
TIAL1	1.0	0.2795055846857751	0.2795055846857751	7073	Positive	Unlabeled
PPP4R3B	1.0	0.27749175799124964	0.27749175799124964	57223	Positive	Unlabeled
SREK1	1.0	0.2773447347329519	0.2773447347329519	140890	Positive	Unlabeled
CHRNA2	1.0	0.27725113147439817	0.27725113147439817	1135	Positive	Unlabeled
DALRD3	1.0	0.276831170743324	0.276831170743324	55152	Positive	Unlabeled
DCP2	1.0	0.27560885851880684	0.27560885851880684	167227	Positive	Unlabeled
SEC63	1.0	0.2743385364819866	0.2743385364819866	11231	Positive	Unlabeled
HPSE2	1.0	0.2734731148136595	0.2734731148136595	60495	Positive	Unlabeled
CNOT6	1.0	0.27334910266073925	0.27334910266073925	57472	Positive	Unlabeled
ITIH3	1.0	0.27229552150142894	0.27229552150142894	3699	Positive	Unlabeled
APOBEC4	1.0	0.27225889421758226	0.27225889421758226	403314	Positive	Unlabeled
MED28	1.0	0.27210015882190935	0.27210015882190935	80306	Positive	Unlabeled
SMNDC1	1.0	0.27170559345974604	0.27170559345974604	10285	Positive	Unlabeled
ALDH1A1	1.0	0.2715713915181848	0.2715713915181848	216	Positive	Unlabeled
LARP4	1.0	0.27148633942616646	0.27148633942616646	113251	Positive	Unlabeled
PPP2R2D	0.2710614078193402	1.0	0.2710614078193402	55844	Unlabeled	Positive
MANBAL	1.0	0.27084253591308477	0.27084253591308477	63905	Positive	Unlabeled
WDR38	1.0	0.270714462545865	0.270714462545865	401551	Unlabeled	Unlabeled
B3GNT7	1.0	0.270714462545865	0.270714462545865	93010	Unlabeled	Unlabeled
KNDC1	1.0	0.2707144574196392	0.2707144574196392	85442	Positive	Unlabeled
FXR1	1.0	0.2704050329681449	0.2704050329681449	8087	Positive	Unlabeled
PAPOLA	1.0	0.2698501051346837	0.2698501051346837	10914	Positive	Unlabeled
LRRC27	1.0	0.26801674335601927	0.26801674335601927	80313	Unlabeled	Unlabeled
SSBP4	1.0	0.2680167295157787	0.2680167295157787	170463	Positive	Unlabeled
JMJD4	1.0	0.26474322173972276	0.26474322173972276	65094	Positive	Unlabeled
VPS72	1.0	0.2642661838490718	0.2642661838490718	6944	Positive	Unlabeled
XPO1	1.0	0.26315331351164184	0.26315331351164184	7514	Positive	Unlabeled
HNRNPH3	1.0	0.2623647407095205	0.2623647407095205	3189	Positive	Unlabeled
TCP11L1	0.37800618552660725	0.6933764522697329	0.2621005878564534	55346	Unlabeled	Unlabeled
GABRB2	1.0	0.26200104275033687	0.26200104275033687	2561	Positive	Unlabeled
IFT22	1.0	0.26137253724586085	0.26137253724586085	64792	Positive	Unlabeled
SNRNP48	1.0	0.26073566941002346	0.26073566941002346	154007	Positive	Unlabeled
ZNF835	1.0	0.2581902961225966	0.2581902961225966	90485	Positive	Unlabeled
SLITRK4	1.0	0.25789062446890965	0.25789062446890965	139065	Positive	Unlabeled
MGAT4A	1.0	0.2578841353368662	0.2578841353368662	11320	Positive	Unlabeled
EPRS	1.0	0.2576759823926395	0.2576759823926395	2058	Positive	Unlabeled
DHDDS	1.0	0.25703042930402575	0.25703042930402575	79947	Positive	Unlabeled
HNRNPU	1.0	0.25648375221499015	0.25648375221499015	3192	Positive	Unlabeled
MC4R	1.0	0.256108024273894	0.256108024273894	4160	Positive	Unlabeled
S100A1	1.0	0.2550788363016189	0.2550788363016189	6271	Positive	Unlabeled
RETSAT	1.0	0.2547771222292995	0.2547771222292995	54884	Positive	Unlabeled
API5	1.0	0.2539936983130131	0.2539936983130131	8539	Positive	Unlabeled
NAP1L1	1.0	0.25352989096328565	0.25352989096328565	4673	Positive	Unlabeled
SRR	1.0	0.2521676104669837	0.2521676104669837	63826	Positive	Unlabeled
HSP90AA1	1.0	0.25201500695956064	0.25201500695956064	3320	Positive	Unlabeled
ELOVL6	1.0	0.25185483647372175	0.25185483647372175	79071	Positive	Unlabeled
C12orf75	1.0	0.2514739968418645	0.2514739968418645	387882	Unlabeled	Unlabeled
FAM122B	1.0	0.2514739784251021	0.2514739784251021	159090	Positive	Unlabeled
SLC25A33	1.0	0.2514268093238156	0.2514268093238156	84275	Positive	Unlabeled
CPSF6	1.0	0.2511337073316141	0.2511337073316141	11052	Positive	Unlabeled
G3BP1	1.0	0.25110902474615215	0.25110902474615215	10146	Positive	Unlabeled
MED29	1.0	0.2505541068744887	0.2505541068744887	55588	Positive	Unlabeled
GDI2P1	0.24914036635541503	1.0	0.24914036635541503	2667	Unlabeled	Unlabeled
RPS6KB1	0.24914032870782254	1.0	0.24914032870782254	6198	Unlabeled	Positive
BABAM1	1.0	0.2484662375370889	0.2484662375370889	29086	Positive	Unlabeled
SLC25A6	1.0	0.24804681045415816	0.24804681045415816	293	Positive	Unlabeled
PFDN1	1.0	0.2475706908758716	0.2475706908758716	5201	Positive	Unlabeled
LRRC45	1.0	0.2475635826856479	0.2475635826856479	201255	Unlabeled	Unlabeled
SAPCD2	1.0	0.24756356665517146	0.24756356665517146	89958	Positive	Unlabeled
E2F1	1.0	0.24702413753110034	0.24702413753110034	1869	Positive	Unlabeled
IL18BP	0.4275275209957759	0.5721430116354406	0.24460688341955727	10068	Unlabeled	Unlabeled
MRPS30	1.0	0.24395557522029707	0.24395557522029707	10884	Positive	Unlabeled
PIK3CA	0.24131432101131253	1.0	0.24131432101131253	5290	Unlabeled	Positive
YBX3	0.24046873502694646	1.0	0.24046873502694646	8531	Unlabeled	Positive
GATD1	1.0	0.2401926905335443	0.2401926905335443	347862	Positive	Unlabeled
RAP1B	0.24017963155830102	1.0	0.24017963155830102	5908	Unlabeled	Positive
SSTR1	0.3669851408020715	0.6496733324878621	0.23842045939840908	6751	Unlabeled	Unlabeled
CRKL	0.23821831437267177	1.0	0.23821831437267177	1399	Unlabeled	Positive
THEM4	1.0	0.237880642836169	0.237880642836169	117145	Unlabeled	Unlabeled
BCCIP	1.0	0.23788062452364275	0.23788062452364275	56647	Positive	Unlabeled
ACTR2	0.23561558675426553	1.0	0.23561558675426553	10097	Unlabeled	Positive
TACC3	1.0	0.23516452543842933	0.23516452543842933	10460	Positive	Unlabeled
PPP1R12A	0.23509256014223184	1.0	0.23509256014223184	4659	Unlabeled	Positive
PPP2R2A	0.2348429415065774	1.0	0.2348429415065774	5520	Unlabeled	Positive
PRKCI	0.23426634410763994	1.0	0.23426634410763994	5584	Unlabeled	Positive
CSNK2A1	0.23422819447708923	1.0	0.23422819447708923	1457	Unlabeled	Positive
PAK2	0.2341879031237792	1.0	0.2341879031237792	5062	Unlabeled	Positive
ROCK1	0.23407116914768	1.0	0.23407116914768	6093	Unlabeled	Positive
None	0.3934564437348674	0.5940539807820918	0.2337343666650631	730909	Unlabeled	Unlabeled
PIK3CB	0.23337026156424184	1.0	0.23337026156424184	5291	Unlabeled	Positive
APEX1	1.0	0.23301188184308455	0.23301188184308455	328	Positive	Unlabeled
NCK2	0.23180699438830682	1.0	0.23180699438830682	8440	Unlabeled	Positive
RAP1A	0.23179166289091657	1.0	0.23179166289091657	5906	Unlabeled	Positive
PUS7L	1.0	0.23166192886111267	0.23166192886111267	83448	Positive	Unlabeled
GNA13	0.23117076906689116	1.0	0.23117076906689116	10672	Unlabeled	Positive
CDKN1B	0.2308174025533994	1.0	0.2308174025533994	1027	Unlabeled	Positive
PTEN	0.2307845456146182	1.0	0.2307845456146182	5728	Unlabeled	Positive
ROCK2	0.23020677592411407	1.0	0.23020677592411407	9475	Unlabeled	Positive
HINT2	1.0	0.2295912845156313	0.2295912845156313	84681	Positive	Unlabeled
PPP1CB	0.22865009719777715	1.0	0.22865009719777715	5500	Unlabeled	Positive
MAP6D1	1.0	0.22812034329939318	0.22812034329939318	79929	Unlabeled	Unlabeled
CCDC71	1.0	0.2281203402050032	0.2281203402050032	64925	Positive	Unlabeled
ARHGAP5	0.22805880520142435	1.0	0.22805880520142435	394	Unlabeled	Positive
ARF6	0.22737331330367358	1.0	0.22737331330367358	382	Unlabeled	Positive
MAPK3	0.22706913581290847	1.0	0.22706913581290847	5595	Unlabeled	Positive
PCDHA11	0.22706417893930594	1.0	0.22706417893930594	56138	Unlabeled	Unlabeled
CRK	0.22706414518918833	1.0	0.22706414518918833	1398	Unlabeled	Positive
NCK1	0.2268621209140633	1.0	0.2268621209140633	4690	Unlabeled	Positive
PPP2CA	0.2267259847294698	1.0	0.2267259847294698	5515	Unlabeled	Positive
INTS7	1.0	0.22624930580461727	0.22624930580461727	25896	Positive	Unlabeled
IQGAP1	0.22621144892124273	1.0	0.22621144892124273	8826	Unlabeled	Positive
RRAS2	0.2261594060198289	1.0	0.2261594060198289	22800	Unlabeled	Positive
CFL2	0.22541698294375812	1.0	0.22541698294375812	1073	Unlabeled	Positive
PPP1CC	0.2253486158726136	1.0	0.2253486158726136	5501	Unlabeled	Positive
RASA1	0.22531339279147422	1.0	0.22531339279147422	5921	Unlabeled	Positive
RAB3IP	1.0	0.2246011429734488	0.2246011429734488	117177	Positive	Unlabeled
PEBP4	0.22449016899950278	1.0	0.22449016899950278	157310	Unlabeled	Unlabeled
RAF1	0.2244901324804921	1.0	0.2244901324804921	5894	Unlabeled	Positive
MAP2K4	0.22444186781465109	1.0	0.22444186781465109	6416	Unlabeled	Positive
ACTR3	0.2241384940697007	1.0	0.2241384940697007	10096	Unlabeled	Positive
ADORA2A	0.7374669619884184	0.30354711896058084	0.2238559716401966	135	Unlabeled	Unlabeled
TMEM177	1.0	0.22322477005261027	0.22322477005261027	80775	Positive	Unlabeled
SYT8	0.5993865292453652	0.37224479703060326	0.2231185169218187	90019	Unlabeled	Unlabeled
ARHGEF7	0.22295863881427652	1.0	0.22295863881427652	8874	Unlabeled	Positive
MPP5	0.22215188544607228	1.0	0.22215188544607228	64398	Unlabeled	Positive
PTK2	0.2217422238675255	1.0	0.2217422238675255	5747	Unlabeled	Positive
RHOU	0.21991242276980796	1.0	0.21991242276980796	58480	Unlabeled	Unlabeled
MAPK1	0.2194352281953938	1.0	0.2194352281953938	5594	Unlabeled	Positive
MAP2K1	0.21923469182767294	1.0	0.21923469182767294	5604	Unlabeled	Positive
ARPC5	0.21898533756447341	1.0	0.21898533756447341	10092	Unlabeled	Positive
CBLB	0.21853042072820258	1.0	0.21853042072820258	868	Unlabeled	Positive
PDGFD	0.21767773527579815	1.0	0.21767773527579815	80310	Unlabeled	Positive
NCKAP1	0.21667474919906551	1.0	0.21667474919906551	10787	Unlabeled	Positive
WASL	0.2163259122853869	1.0	0.2163259122853869	8976	Unlabeled	Positive
RRAS	0.21462126602453524	1.0	0.21462126602453524	6237	Unlabeled	Positive
ALCAM	0.21440736433792465	1.0	0.21440736433792465	214	Unlabeled	Positive
SOS2	0.21408864156465154	1.0	0.21408864156465154	6655	Unlabeled	Positive
CBLC	0.21393190534959547	1.0	0.21393190534959547	23624	Unlabeled	Positive
PPP1R1B	1.0	0.2138490557754701	0.2138490557754701	84152	Positive	Unlabeled
ITGAV	0.21365987888442722	1.0	0.21365987888442722	3685	Unlabeled	Positive
TNN	0.21345423018992782	1.0	0.21345423018992782	63923	Unlabeled	Positive
GNA12	0.21316002960064148	1.0	0.21316002960064148	2768	Unlabeled	Positive
EZR	0.2129587957209918	1.0	0.2129587957209918	7430	Unlabeled	Positive
ARHGEF6	0.21291993985170712	1.0	0.21291993985170712	9459	Unlabeled	Positive
WASF1	0.21291860206104216	1.0	0.21291860206104216	8936	Unlabeled	Positive
COX1	0.2128999497994959	1.0	0.2128999497994959	4512	Unlabeled	Unlabeled
CDC42BPG	0.2128999497994959	1.0	0.2128999497994959	55561	Unlabeled	Unlabeled
CDC42	0.21289991562393873	1.0	0.21289991562393873	998	Unlabeled	Positive
MAPK9	0.2127986310570669	1.0	0.2127986310570669	5601	Unlabeled	Positive
CLIC3	0.5456568989382381	0.3891530842466256	0.21234406516226464	9022	Unlabeled	Unlabeled
MAP3K20	0.21178588474402182	1.0	0.21178588474402182	51776	Unlabeled	Positive
ITGA6	0.21170211920498613	1.0	0.21170211920498613	3655	Unlabeled	Positive
GSK3B	0.21144032518304126	1.0	0.21144032518304126	2932	Unlabeled	Positive
AFDN	0.210732646027717	1.0	0.210732646027717	4301	Unlabeled	Positive
AKT1	0.2096848797920288	1.0	0.2096848797920288	207	Unlabeled	Positive
CAMK2D	0.20824703547274365	1.0	0.20824703547274365	817	Unlabeled	Positive
GRB2	0.20804762866415363	1.0	0.20804762866415363	2885	Unlabeled	Positive
PAK1	0.2079170827765363	1.0	0.2079170827765363	5058	Unlabeled	Positive
