Gene	EntrezID
CLDN25	644672
CD40LG	959
NRCAM	4897
NCAM2	4685
NLGN1	22871
CDH1	999
NEGR1	257194
JAM3	83700
CNTNAP1	8506
CD28	940
PECAM1	5175
HLA-DQB1	3119
CD58	965
DMA	3108
CDH4	1002
PVR	5817
HLA-DOB	3112
MPZ	4359
HLA-DRB4	3126
CLDN10	9071
CD86	942
CNTN2	6900
NFASC	23114
CLDN7	1366
HLA-G	3135
PTPRF	5792
SELE	6401
CLDN5	7122
SELL	6402
ICOSLG	23308
CDH15	1013
LRRC4	64101
CLDN2	9075
CNTN1	1272
CLDN1	9076
HLA-DPA1	3113
CADM1	23705
ICOS	29851
CD40	958
HLA-DRB3	3125
CLDN15	24146
CLDN6	9074
HLA-DQA1	3117
HLA-DQA2	3118
CD34	947
CLDN8	9073
HLA-DRA	3122
CADM3	57863
HLA-DOA	3111
CD80	941
CD8A	925
PDCD1	5133
PVRL1	5818
PTPRM	5797
HLA-DRB5	3127
CD8B	926
MPZL1	9019
CD274	29126
SPN	6693
CLDN22	53842
MAG	4099
NLGN4X	57502
CLDN17	26285
CLDN24	100132463
CD99	4267
CLDN23	137075
F11R	50848
SIGLEC1	6614
CTLA4	1493
NLGN3	54413
LRRC4C	57689
OCLN	100506658
CD226	10666
TIGIT	201633
NLGN2	57555
NTNG2	84628
CLDN3	1365
NTNG1	22854
CD2	914
CLDN9	9080
ICAM3	3385
CLDN20	49861
PVRL2	5819
NCK1	4690
MAP2K7	5609
RPS6KB2	6199
ERBB4	2066
GRB2	2885
ABL2	27
CBLB	868
MAPK10	5602
STAT5A	6776
PLCG2	5336
BTC	685
CDKN1B	1027
EREG	2069
CAMK2D	817
JUN	3725
SHC4	399694
BAD	572
ELK1	2002
TGFA	7039
CBLC	23624
PRKCG	5582
PRKCB	5579
STAT5B	6777
CAMK2A	815
SHC1	6464
AREGB	374
NRG3	10718
MTOR	2475
CDKN1A	1026
HBEGF	1839
SHC3	53358
NRG2	9542
SHC2	25759
ERBB2	2064
ERBB3	2065
MAPK9	5601
MAP2K4	6416
MAPK8	5599
ABL1	25
EIF4EBP1	1978
RPS6KB1	6198
MYC	4609
NRG4	145957
NCK2	8440
AKT2	208
CAMK2G	818
CAMK2B	816
CBL	867
NRG1	3084
GAB1	2549
GSK3B	2932
AKT3	10000
COL3A1	1281
ZYX	7791
SPP1	6696
BCL2	596
PARVA	55742
COL4A2	1284
LAMB2	3913
COL4A1	1282
COL27A1	85301
LAMA2	3908
THBS2	7058
FLT4	2324
COL6A2	1292
COL4A6	1288
TNN	63923
PDGFA	5154
THBS1	7057
LAMB4	22798
RAP1B	5908
VWF	7450
PDPK1	5170
FLNC	2318
VTN	7448
COL11A1	1301
COL6A1	1291
IBSP	3381
KDR	3791
COL5A2	1290
COL4A3	1285
FLNA	2316
LAMA4	3910
FLT1	2321
COL6A3	1293
RAPGEF1	2889
COL4A5	1287
FIGF	2277
COL4A4	1286
COL2A1	1280
PDGFB	5155
COL1A1	1277
LAMB3	3914
LAMC2	3918
LAMA3	3909
THBS4	7060
PDGFC	56034
CAV3	859
ARHGAP5	394
COL6A6	131873
LAMB1	3912
TLN2	83660
PDGFD	80310
VEGFC	7424
COL24A1	255631
FN1	2335
COL1A2	1278
CHAD	1101
TNC	3371
COL5A3	50509
RELN	5649
COMP	1311
TNXB	7148
COL11A2	1302
LAMC1	3915
PARVB	29780
PARVG	64098
CTNNB1	1499
RASGRF1	5923
RAP1A	5906
LAMA1	284217
FLNB	2317
CAV2	858
LAMC3	10319
THBS3	7059
VEGFB	7423
COL5A1	1289
PGF	5228
TNR	7143
LAMA5	3911
FYN	2534
PPP2R2B	5521
MLTK	51776
PARD6B	84612
CASK	8573
PPP2R2D	55844
PRKCD	5580
CGN	57530
LLGL2	3993
CRB3	92359
CTNNA2	1496
MYH15	22989
PARD6A	50855
HCLS1	3059
CSNK2A1	1457
PARD6G	84552
MYH11	4629
EPB41L3	23136
CTNNA3	29119
TJP2	9414
PARD3	56288
MPP5	64398
PPP2R2C	5522
MAGI3	260425
MLLT4	4301
MYH7	4625
MYH1	4619
TJP3	27134
MAGI1	9223
PRKCE	5581
PRKCH	5583
TJP1	7082
YBX3	8531
PRKCZ	5590
PRKCI	5584
PPP2CB	5516
EPB41	2035
PPP2R1B	5519
PPP2R1A	5518
CTNNA1	1495
PRKCQ	5588
MYH7B	57644
CSNK2A2	1459
PPP2R2A	5520
MYH2	4620
MYH13	8735
IGSF5	150084
CDK4	1019
MYH4	4622
MYH3	4621
EPB41L2	2037
MAGI2	9863
PPP2CA	5515
LLGL1	3996
EPB41L1	2036
CSNK2B	1460
MYH6	4624
MYH8	4626
SPTAN1	6709
MPDZ	8777
